client | 11:26:30 >> [Thread 50] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 49] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 7] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 47] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 108] Client started; opening data_10.csv
client | 11:26:31 >> [Thread 108] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 90] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 57] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 69] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 46] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 71] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 33] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 65] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 17] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 109] Client started; opening data_11.csv
client | 11:26:30 >> [Thread 110] Client started; opening data_1.csv
client | 11:26:30 >> [Thread 30] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 5] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 111] Client started; opening data_2.csv
client | 11:26:30 >> [Thread 18] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 92] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 93] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 56] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 74] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 39] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 29] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 68] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 73] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 21] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 36] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 11] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 12] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 38] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 55] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 113] Client started; opening data_4.csv
client | 11:26:30 >> [Thread 20] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 52] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 114] Client started; opening data_5.csv
client | 11:26:31 >> [Thread 114] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 94] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 91] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 146] Client started; opening data_4.csv
client | 11:26:30 >> [Thread 115] Client started; opening data_6.csv
client | 11:26:30 >> [Thread 116] Client started; opening data_7.csv
client | 11:26:31 >> [Thread 77] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 117] Client started; opening data_8.csv
client | 11:26:31 >> [Thread 118] Client started; opening data_9.csv
client | 11:26:30 >> [Thread 34] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 26] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 119] Client started; opening data_10.csv
client | 11:26:31 >> [Thread 58] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 43] Enqueuing batch nr 2
client | 11:26:31 >> [Thread 76] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 54] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 120] Client started; opening data_11.csv
client | 11:26:31 >> [Thread 61] Enqueuing batch nr 2
client | 11:26:31 >> [Thread 97] Enqueuing batch nr 1
client | 11:26:31 >> [Thread 75] Enqueuing batch nr 2
client | 11:26:31 >> [Thread 35] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 96] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 42] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 24] Enqueuing batch nr 3
